Country/geographical area,Daylight saving time (DST) Start date,UTC Start date
Maldives,No change – UTC+5,No change – UTC+5
Mali,No change – UTC,No change – UTC
Malta,30.III.2014 – UTC+2,26.X.2014 – UTC+1
Marshall Islands,No change – UTC+12 ,No change – UTC+12 
Martinique,No change – UTC-4 ,No change – UTC-4 
Mauritania,No change – UTC,No change – UTC
Mauritius,No change – UTC+4,No change – UTC+4
Mexico,　,　
  Zona Centro,6.IV.2014 – UTC-5,26.X.2014 – UTC-6
  Zona Noroeste,6.IV.2014 – UTC-7,26.X.2014 – UTC-8
  Zona Pacífico,6.IV.2014 – UTC-6,26.X.2014 – UTC-7
Micronesia,No change – UTC+11,No change – UTC+11
Republic of Moldova (the),30.III.2014 – UTC+3,26.X.2014 – UTC+2
Monaco,30.III.2014 – UTC+2,26.X.2014 – UTC+1
Mongolia,No change – UTC+8,No change – UTC+8
Montenegro,30.III.2014 – UTC+2,26.X.2014 – UTC+1
Montserrat,No change – UTC-4 ,No change – UTC-4 
Morocco,30.III.2014 – UTC+1,26.X.2014 – UTC
Mozambique,No change – UTC+2 ,No change – UTC+2 
Myanmar,No change – UTC+6.30,No change – UTC+6.30
Namibia,7.IX.2014 – UTC+2,6.IV.2014 – UTC+1
Nauru,No change – UTC+12,No change – UTC+12
Nepal,No change – UTC+5.45,No change – UTC+5.45
Netherlands,30.III.2014 – UTC+2,26.X.2014 – UTC+1
New Caledonia,No change – UTC+11,No change – UTC+11
New Zealand,28.IX.2014 – UTC+13,6.IV.2014 – UTC+12
Nicaragua,No change – UTC-6 ,No change – UTC-6 
Niger,No change – UTC+1 ,No change – UTC+1 
Nigeria,No change – UTC+1,No change – UTC+1
Niue,No change – UTC-11,No change – UTC-11
Northern Mariana Islands,No change – UTC+10,No change – UTC+10
Norway,30.III.2014 – UTC+2,26.X.2014 – UTC+1
Oman,No change – UTC+4 ,No change – UTC+4 
Pakistan,No change – UTC+5 ,No change – UTC+5 
Palau,No change – UTC+9,No change – UTC+9
Panama,No change – UTC-5,No change – UTC-5
Papua New Guinea,No change – UTC+10,No change – UTC+10
Paraguay,5.X.2014 – UTC-3,13.IV.2014 – UTC-4
Peru,No change – UTC-5 ,No change – UTC-5 
Philippines,No change – UTC+8,No change – UTC+8
Poland,30.III.2014 – UTC+2,26.X.2014 – UTC+1
Portugal,30.III.2014 – UTC+1,26.X.2014 – UTC
Puerto Rico,No change – UTC-4,No change – UTC-4
Qatar,No change – UTC+3,No change – UTC+3
Romania,30.III.2014 – UTC+3,26.X.2014 – UTC+2
Russian Federation,　,　
"Moscow, St. Petersburg",No change – UTC+4,No change – UTC+4
Rwanda,No change – UTC+2,No change – UTC+2
"Saint Helena, Ascension and Tristan da Cunha",No change – UTC,No change – UTC
Saint Kitts and Nevis,No change – UTC-4 ,No change – UTC-4 
Saint Lucia,No change – UTC-4,No change – UTC-4
Saint Pierre and Miquelon,9.III.2014 – UTC-2,2.XI.2014 – UTC-3
Saint Vincent and the Grenadines,No change – UTC-4,No change – UTC-4
Samoa,28.IX.2014 – UTC+14,6.IV.2014 – UTC+13
San Marino,30.III.2014 – UTC+2,26.X.2014 – UTC+1
Sao Tome and Principe,No change – UTC,No change – UTC
Saudi Arabia,No change – UTC+3,No change – UTC+3
Senegal,No change – UTC,No change – UTC
Serbia,30.III.2014 – UTC+2,26.X.2014 – UTC+1
Seychelles,No change – UTC+4,No change – UTC+4
Sierra Leone,No change – UTC,No change – UTC
Singapore,No change – UTC+8,No change – UTC+8
Sint Maarten,No change – UTC-4,No change – UTC-4
Slovakia,30.III.2014 – UTC+2,26.X.2014 – UTC+1
Slovenia,30.III.2014 – UTC+2,26.X.2014 – UTC+1
Solomon Islands,No change – UTC+11 ,No change – UTC+11 
Somalia,No change – UTC+3 ,No change – UTC+3 
South Africa,No change – UTC+2,No change – UTC+2
South Sudan,No change – UTC+3,No change – UTC+3
Spain,30.III.2014 – UTC+2,26.X.2014 – UTC+1
Sri Lanka,No change – UTC+5.30,No change – UTC+5.30
Sudan,No change – UTC+3 ,No change – UTC+3 
Suriname,No change – UTC-3 ,No change – UTC-3 
Swaziland,No change – UTC+2,No change – UTC+2
Sweden,30.III.2014 – UTC+2,26.X.2014 – UTC+1
Switzerland,30.III.2014 – UTC+2,26.X.2014 – UTC+1
Syrian Arab Republic,28.III.2014 – UTC+3,31.X.2014 – UTC+2
"Taiwan, China",No change – UTC+8 ,No change – UTC+8 
Tajikistan,No change – UTC+5 ,No change – UTC+5 
Tanzania,No change – UTC+3,No change – UTC+3
Thailand,No change – UTC+7,No change – UTC+7
The Former Yugoslav Republic of Macedonia,30.III.2014 – UTC+2,26.X.2014 – UTC+1
Timor-Leste,No change – UTC+9 ,No change – UTC+9 
Togo,No change – UTC,No change – UTC
Tokelau,No change – UTC+13,No change – UTC+13
Tonga,No change – UTC+13,No change – UTC+13
Trinidad and Tobago,No change – UTC-4,No change – UTC-4
Tunisia,No change – UTC+1,No change – UTC+1
Turkey,30.III.2014 – UTC+3,26.X.2014 – UTC+2
Turkmenistan,No change – UTC+5 ,No change – UTC+5 
Turks and Caicos Islands,9.III.2014 – UTC-4,2.XI.2014 – UTC-5
Tuvalu,No change – UTC+12,No change – UTC+12
Uganda,No change – UTC+3,No change – UTC+3
Ukraine,30.III.2014 – UTC+3,26.X.2014 – UTC+2
United Arab Emirates,No change – UTC+4 ,No change – UTC+4 
United Kingdom,30.III.2014 – UTC+1,26.X.2014 – UTC
United States,　,　
  Eastern time,9.III.2014 – UTC-4,2.XI.2014 – UTC-5
  Central time,9.III.2014 – UTC-5,2.XI.2014 – UTC-6
  Mountain time,9.III.2014 – UTC-6,2.XI.2014 – UTC-7
  Pacific time,9.III.2014 – UTC-7,2.XI.2014 – UTC-8
  Alaska,9.III.2014 – UTC-8,2.XI.2014 – UTC-9
  Hawaiian,No change – UTC-10,No change – UTC-10
United States Virgin Islands,No change – UTC-4,No change – UTC-4
Uruguay,5.X.2014 – UTC-2,9.III.2014 – UTC-3
Uzbekistan,No change – UTC+5,No change – UTC+5
Vanuatu,No change – UTC+11,No change – UTC+11
Vatican,30.III.2014 – UTC+2,26.X.2014 – UTC+1
Venezuela (Bolivarian Republic of),No change – UTC-4.30,No change – UTC-4.30
Viet Nam,No change – UTC+7,No change – UTC+7
Wallis and Futuna,No change – UTC+12 ,No change – UTC+12 
Yemen,No change – UTC+3,No change – UTC+3
Zambia,No change – UTC+2,No change – UTC+2
Zimbabwe,No change – UTC+2,No change – UTC+2
